,Sentences
102,  asian cuisine in my zip code
103,  at which french restaurant can i dine outdoors
104,  beer and hot wings in town
105,  best chinese food in the area
106,  borscht
107,  bradford lantern cafe directions
108,  brasil cuisine near me
109,  burgers
110,  cafes on ashlannd street
111,  call cheeseboard in berkeley for me
112,  call chinese
113,  call dominos
114,  call the closest korean restaurant
115,  can i bring my kid to any of the restaurants down town that have bars attached
116,  can i bring my pet iguana to the japanese restaurant
117,  can i dine at the barat a nossa casa
118,  can i find a bar and grill within short walking distance of the shopping district
119,  can i find a good chinese buffet within 3 miles from me
120,  can i find any restaurants close by with a meal under 8
121,  can i find good portugues
122,  can i get a chefands table on north bedford street very late at night
123,  can i get a list of close fast food places
124,  can i get gluten free pizza within 10 miles of here
125,  can i get hambers at lone star
126,  can i get raw vegan food in honolulu
127,  can i get sushi on a prix fixe menu with reasonable prices
128,  can i have the phone number for kfc in los angeles ca
129,  can i see hamburger restaurants nearby
130,  can i valet park at the blue coyote grill
131,  can i wear shorts
132,  can you find a bar that serves tapas and takes reservations for happy hour
133,  can you find a burger joint with a smoking section
134,  can you find a cheap vietnamese restaurant
135,  can you find a fast food restaurant
136,  can you find a highly rated long john silvers open this late
137,  can you find a middle eastern place with great prices
138,  can you find a pizza place with a buffet within 15 miles
139,  can you find a pub downtown
140,  can you find a restaurant that serves bean soup in the morning and isnt too expensive
141,  can you find a restaurant that serves duck that not cheap near here
142,  can you find a restaurant under 20 per dish
143,  can you find a seafood restaurant
144,  can you find a site where i can see reviews on restaurant downtown
145,  can you find a steak house that serves wine
146,  can you find a thai japanese fusion restaurant in town
147,  can you find an italian restaurant nearby
148,  can you find an italian restaurant that serves brunch on sunday
149,  can you find an italian restaurant where i can wear casual atire
150,  can you find east dedham pizzeria that have a dine at bar location
151,  can you find latin american cuisine within a hotel along the way
152,  can you find me a burmese restaurant with a parking spot
153,  can you find me a fredas thats not too busy
154,  can you find me a good place to eat chowder
155,  can you find me a kid friendly seafood restaurant
156,  can you find me a kid friendly sushi restaurant
157,  can you find me a moderately priced italian restaurant
158,  can you find me a nice italian restaurant that takes reservations
159,  can you find me a not cheap lunch spot that serves pasteur
160,  can you find me a pizza place
161,  can you find me a pizzeria that delivers after midnight
162,  can you find me a place nearby thats open after 12 pm with bean dishes
163,  can you find me a place that serves french fries
164,  can you find me a restaurant that has a bar in it
165,  can you find me a restaurant that has entrees priced between 15 and 20 dollars
166,  can you find me a thai restaurant that is caual
167,  can you find me chinese restaurant with a smoking section
168,  can you find me hotel dining with comfort food
169,  can you find me some malaysian food late at night
170,  can you find me some take out ribs
171,  can you find out if the best little restaurant has dancing and a good looking atmosphere
172,  can you find starting gate restaurant thats hard to find with a huge price
173,  can you find the closest ihop
174,  can you find the nearest health food store and bar
175,  can you find the waterfront restaurant albertos deli of course thats open until 11 pm
176,  can you find us an ice cream shop near haight street
177,  can you get me a list of chinese food places in great neck ny
178,  can you get pork in chinatown
179,  can you give me the name of the restaurant on green st
180,  can you give me the phone number for the nearest mexican restaurant that is both affordable and has good quality food
181,  can you help me find a fancy restaurant with 5 star ratings
182,  can you help me find a high end restaurant where i can have lunch
183,  can you help me find a korean restaurant that is close by
184,  can you help me find a reasonably priced harvard chinese restaurant that lets you byob
185,  can you help me find a restaurant that has fast service and is open before 11 am
186,  can you help me find a tong villa that serves small portions
187,  can you help me find inexpensive dining within a five mile radius of my current location
188,  can you help me get to a restaurant where i can get lunch for under 10
189,  can you locate a 4 star or higher restaurant that serves italian food
190,  can you locate a chinese buffet for under 12 within a five minute drive
191,  can you locate a diner that has a smoking section in this area
192,  can you locate a restaurant that sell burgers after 12 00 am
193,  can you locate the business hours for a restaurant that serves brunch
194,  can you make a reservation at pf changs for tonight
195,  can you make me a reservation at the cheapest restaurant with valet parking
196,  can you make me a reservation at the most expensive restaurant within 15 miles
197,  can you make me a reservation for 4 at the nearest upscale steakhouse
198,  can you make me a reservation for todai for thursday for two people
199,  can you make reservations for two at heartland restaurant for tonight at 7 30
200,  can you order me a pizza
201,  can you please direct me to the nearest chinese restaurant
202,  can you please find the olive garden restaurant in manhattan
203,  can you search for the most expensive restaurant
204,  can you take me to a pizza place
205,  can you take me to roosevelts restaurant and sin in framingham
206,  can you tell me what italian restaurants north of heat rd in fairfax
207,  can you tell me where an affordable burmese place is
208,  can you tell me where the closest taco bell is
209,  can you tell me where the nearest sushi restaurant is
210,  can you tell me where the nearest wendys is
211,  can you tell me where to get some cheap vegetarian food
212,  car look for upscale restaurants downtown and make reservations at the best reviewed
213,  cheap place close to home
214,  chinese food sounds good help me out with a good place
215,  closest sushi bar in town
216,  cocktails and dancing
217,  could you find a restaurant which plays live music
218,  could you find me a place thats open every day
219,  could you find me some restaurants located along the way to the airport that are open late
220,  could you help me locate a place for lunch
221,  could you locate an italian restaurant around four miles away with pesto pasta
222,  could you locate the closest seafood restaurant
223,  could you make a reservation for me at a nice italian restaurant
224,  create directions to closest chinese restaurtant
225,  danny cooks home made dinners
226,  diner
227,  diner locations
228,  dining along the waterfront restaurant is located on sutton street
229,  direct me to a donut shop please
230,  direct me to the nearest indian restaurant
231,  direct me to the nearest mcdonalds
232,  do any famous people frequent the jimmys pizza too that is close by
233,  do any fast food restaurants accept out of town checks
234,  do any of the asian food restaurants use only organic meats and vegetables
235,  do any of the authentic italian restaurants sell bottles of imported extra virgin olive oil
236,  do any of the chinese restaurants in town do take out after midnight
237,  do any of the family restaurants down town serve strawberry milk
238,  do any of the italian restaurants around here offer an all you can eat buffet
239,  do any of the middle eastern restaurants close by 7 pm
240,  do any of the restaurants in this town also have a dance floor and live music
241,  do any restaurants nearby offer a few gluten free options
242,  do any restaurants serve loaves of patitza around christmas time
243,  do fast food restaurants accept checks in baltimore
244,  do i need a reservation for kings
245,  do know any place around here to take clients
246,  do they have a smoking area
247,  do they have any restaurants in the mall
248,  do you have any good food recommendations
249,  do you have any suggestions for some great tacos
250,  do you have information about any deals they may have
251,  do you have to make a reservation to go to peachtree cafe
252,  do you know any good pizza places open until midnight
253,  do you know if elmos have a dress code
254,  do you know if i can find fine dining in the theater district
255,  do you know if reggianos serve breakfast
256,  do you know if the burrito place is open this late
257,  do you know if the purple cactus burrito and wrap bar ongreentree lane have byob
258,  do you know if there are any excellent wine bar close by
259,  do you know if there are any fine dining cajun restaurant with a fireplace that is within one mile
260,  do you know if there are any irish restaurants that is not too far away
261,  do you know if there are any reasonably priced cajun restaurants that open at 11 am
262,  do you know if there are any resataurants in the mall
263,  do you know if there are any reviews on monacos
264,  do you know of a bakery that is still open
265,  do you know the name of that restaurant on morgan street that is getting all the raves
266,  do you know what restaurants have catering
267,  do you know where i can find a place to eat that has gotten good reviews
268,  do you know where i can get some fresh sushi
269,  do you know where there is a wine bar
270,  do you know where they sell hummus
271,  do you think the noodle bar is open
272,  do you think tin whistle has fabulous service
273,  does angels have a dress code
274,  does any place sells corned beef and cabbage for st patricks day
275,  does anyone in town deliver tasty vegan pizza
276,  does bellinis have any outdoor parking
277,  does buffalo wild wings do takeout orders
278,  does burger king accept credit cards
279,  does caribe have a smoking area
280,  does chuck e cheeses have drive thru
281,  does dennys have a kids menu
282,  does firstwatch breakfast restuarant have outdoor seating
283,  does freds have take out
284,  does granit grill at 703 fx have cheap breakfast
285,  does gustovs have a bar
286,  does jaimes bakery have a great decor
287,  does johnsons steakhouse require formal attire
288,  does logans serve hamburgers
289,  does mcdonalds serve ice cream during breakfast hours
290,  does midys have takeout
291,  does mikes cafe have a smoking section
292,  does mikes country kitchen have a senior special
293,  does mister foos take reservations
294,  does mortons have a dress code
295,  does olive garden serve wine
296,  does osaka sushi express have great portions
297,  does paymon serves white wine
298,  does pedros mexican restaurant accept credit cards
299,  does pizza hut accept credit
300,  does quang take credit cards
301,  does ricatonis offer a lunch portion option
302,  does ruby tuesday on drake avenue have a salad bar
303,  does sherrys have an all you can eat buffet
304,  does stephanies on newbury have a brunch menu
305,  does target have their own parking spot is it good for bringing my date there
306,  does texas roadhouse open for lunch every day
307,  does tgi fridays have senior discounts
308,  does the alicias diner on danton drive offer fixed price menus
309,  does the asian restaurant downtown has parking
310,  does the caranova restaurant at kendall square offer a fixed price menu
311,  does the chinese buffet on 6 th avenue have a smoking section
312,  does the eastside grill have a dress code
313,  does the einstein bros bagels offer fine dining and a close location
314,  does the italian restaurant in the town center offer carry out
315,  does the italian restaurant on 5 th street require a dress code
316,  does the italos bakery along the road have waterfront dining
317,  does the kostas pizza and seafood restaurant have grat prices
318,  does the kyotoyo japanese restaurant in the theater district deliver
319,  does the mcdonalds on 7 th avenue offer free parking
320,  does the nearest asian restaurant have a kids menu
321,  does the nearest howard johnsons have room service
322,  does the pho 2000 on state park rd have online reservation options
323,  does the pizza shop on florida have outdoor parking
324,  does the trendy new place in holbrook have egg rolls
325,  does the wildhorse saloon restaurant have a museum or gift shop
326,  does this chinese restaurant have private rooms
327,  does this restaurant have a good family friendly atmosphere
328,  dominos pizza joint near my location
329,  farmer boys burgers in my town
330,  fast food restaurant in the area
331,  feel like having a heart attack heart attack grill
332,  find a brewpub with entrees under fifteen dollars
333,  find a carry out chinese restaurant
334,  find a cheap brewpub that serves beef
335,  find a chinese place that delivers
336,  find a chinese restaurant that will take american express
337,  find a chinese restaurant with a large buffet
338,  find a classy expensive restaurant with excellent reviews
339,  find a clean place to eat that has reasonable prices
340,  find a comella brothersand italian market for our anniversary that is within 10 miles from here
341,  find a fine dining restaurant within 6 miles
342,  find a high end place that serves pancakes
343,  find a local fruit stand
344,  find a mexican food restaurant that has a very good rating
345,  find a mike donuts for non smokers
346,  find a place to eat that has a drive thru
347,  find a place with live music and happy hour specials
348,  find a reasonably priced restaurant on highwood drive called oriental kitchen
349,  find a thai cuisine within 2 miles
350,  find a wright wright take out for a special occasion
351,  find an in and out burger place
352,  find an inexpensive mexican restaurant in the area
353,  find an italian resturant that serves family style
354,  find italian restaurants in atlanta ga
355,  find italian restaurants within 10 miles
356,  find me a 3 star rated burger restaurant within 10 miles
357,  find me a causal bar and grill
358,  find me a cheap brazilian restaurant
359,  find me a cheap restaurant with a no smoking area
360,  find me a cheaply priced thai restaurant
361,  find me a chinese restaurant nearby
362,  find me a chinese take out restaurant
363,  find me a close by meat market which sells produce
364,  find me a close by sub shop
365,  find me a close travel center
366,  find me a deli which has an eat in area
367,  find me a dim sum restaurant open at 8 am
368,  find me a fancy place to eat
369,  find me a fast food restaurant
370,  find me a german restaurant within 10 miles
371,  find me a good buffet near stockton ca
372,  find me a good burrito truck in the mission
373,  find me a good deli in manhattan
374,  find me a good pho restaurant in portland or
375,  find me a good pub that has a dance floor
376,  find me a good vegetarian restaurant
377,  find me a jack in the box thats open
378,  find me a kid friendly restaurant within three miles of here
379,  find me a local outdoors shop that sells fire wood
380,  find me a local restaurant serving turkish food
381,  find me a nail salon that does pedicures
382,  find me a pizza parlour please
383,  find me a pizza place that takes credit cards
384,  find me a place that sells burgers closest to me
385,  find me a place that serves chinese takeout
386,  find me a place to eat near by
387,  find me a place to eat that has excellent sushi
388,  find me a place to get pizza nearby
389,  find me a popular local coffee shop
390,  find me a ranch style barbecue that serves lunch at 3 pm about one mile from my current position
391,  find me a restaurant good for a date
392,  find me a restaurant near a movie theater thats open at 6 pm on saturday
393,  find me a restaurant near the stadium
394,  find me a restaurant that has a smoking area and serves alcohol and is withing 20 miles of my current location
395,  find me a restaurant that is quick and cheap
396,  find me a restaurant that serves hawaiian food
397,  find me a restaurant with burgers on the menu and large portions that offers business dining
398,  find me a restaurant with truck parking and good ratings
399,  find me a restaurant with valet access
400,  find me a restaurant within 5 miles of here that is open at 1 am
401,  find me a review of grasons barbeque
402,  find me a romantic restaurant in 7 hills
403,  find me a romantic restaurant that has an open table
404,  find me a sitdown place with a buy one get one free offer
405,  find me a southwestern restaurant that serves breakfast and is located nearby
406,  find me a spanish restaurant where i can smoke
407,  find me a sports bar that serves food
408,  find me a store that sells apple products within fifty miles
409,  find me a sudbury pizza place thats no more than 10 minutes from here
410,  find me a take out chinese restaurant
411,  find me a take out restaurant with fried chicken less than 2 miles from here
412,  find me a tgi fridays near me
413,  find me a thai restaurant with a great rating
414,  find me a vegan restaurant not more than 5 miles away
415,  find me a very well priced cuban restaurant
416,  find me all the local italian joints
417,  find me an ethiopian restaurant with good service
418,  find me an ethiopian restaurant within 5 miles of here
419,  find me an expensive american restaurant
420,  find me an indian restaurant that serves lamb
421,  find me an italian restaurant which has received high ratings for its service
422,  find me brazilian food with on location parking
423,  find me chicken places that accept discover card
424,  find me chinese food
425,  find me fast food that serves salad
426,  find me italian restaurants with cheesecake
427,  find me restaurant that isnt cheap with chocolate cake on the dessert menu and byob
428,  find me route directions from lexington ky to cincinnatti ohio
429,  find me soul food in los angeles
430,  find me the best rated chinese restaurant in the twin cities
431,  find me the closest bakers
432,  find me the closest ihop
433,  find me the closest sonic drive thru
434,  find me the closest walmart
435,  find me the nearest chase bank
436,  find me the nearest mcdonalds please
437,  find me the nearest placed to eat
438,  find me the phone number to dominos pizza
439,  find me the phone number to the closest afghan restaurant
440,  find my someplace around here where i can rock out with a smoothie
441,  find nearby restaurants with coupons
442,  find out how to get to the chipotle mexican grill on 12 th and pine
443,  find pizza places
444,  find ratings of all local italian restaurants
445,  find restaurant with italian food
446,  find restaurants within 5 miles with entrees under 15
447,  find somewhere to eat that is open before 7 am with average pricing along the route
448,  find thai food
449,  find the closest brewpub
450,  find the closest dunkin donuts
451,  find the closest homeward bound that has a happy hour
452,  find the closest sea food restaurant
453,  find the nearest chicken stand
454,  find the nearest irish restaurant
455,  find the number of the best barbecue joint in town
456,  find us a deli near central park
457,  find us a sushi bar near brooklyn heights
458,  find us a sushi bar near jackson
459,  find us locations of china wok
460,  get me to a good pho restaurant
461,  get me to a mexican place
462,  get me to the best italian restaurant with the highest rating
463,  give me a list of restaurants that have seafood on the menu
464,  give me a random restaurant that i havent been to yet
465,  give me directions to a mcdonalds
466,  give me directions to an arbys
467,  give me directions to saturn grill
468,  give me the closest place that does sushi
469,  give me the hours for the closest waffle house
470,  give me the locations of the buffets in town
471,  give me the names of the three closest pizza parlors
472,  going to shake shack wheres the best place to park
473,  gryos nears restaurant serving them
474,  hard rock hotel restaurant near me
475,  hello would you please take me to sushi stop
476,  hello yes i need a steakhouse reservations childrens menu and pricing along with reviews of at least 3 stars
477,  help me find a burger joint
478,  help me find a five star chinese buffet within ten minutes of my current location
479,  help me find a good place to eat
480,  help me find a high end restaurant that is open until 11 pm
481,  help me find a place for fast food
482,  help me find a place my kids would like to eat
483,  help me find a sports bar that is smoke friendly
484,  help me find jack in the box in beverly hills
485,  hey could you look up a restaurant with the best meatballs in town
486,  hey im looking for a great date night idea any suggestions
487,  hey take me to variety food court
488,  hey tell me where theres a taco bell nearby
489,  hi hershel is there any place around here with something good to eat
490,  hi i would like some thai food is there any nearby
491,  hi please find me a sushi restaurant that has good reviews and that isnt too expensive
492,  hi would you please find a restaurant with cheap vegan options
493,  how are the prices at donatellas
494,  how big are the portions at cheddars
495,  how can i get to anthonys cafe on the waterfront
496,  how can i quickly get to the nearst long john silvers
497,  how close is the closest mexican restaurant
498,  how close is the nearest olive garden
499,  how do i get from the honolulu zoo to izakaya gazen
500,  how do i get to burger king on oak street
501,  how do i get to the cloest port of subs
502,  how do i get to the nearest hooters
503,  how do i get to the nearest taco bell
504,  how do you get to als diner from here
505,  how expensive is olive garden
506,  how expensive is the food at chinese express
507,  how far am i from the nearest bagel shop
508,  how far am i from true thai right now
509,  how far away is a chicago style sub joint
510,  how far away is the closest burger king
511,  how far away is the nearest applebees
512,  how far away is the nearest steak house
513,  how far for a burger place
514,  how far is evergreen taiwanese restaurant from the himalayan
515,  how far is the arbys
516,  how far is the english pub that serves a fry up
517,  how far is the nearest applebeas
518,  how far is the nearest olive garden
519,  how far is the taco bell
520,  how far to the nearest fast food
521,  how far to the next subway
522,  how late does mcdonalds serve breakfast
523,  how late pfchangs in paradise road will be open
524,  how long will it take me to drive from glasgow to the three chimneys in skye
525,  how long will it take me to drive to the band box diner from here
526,  how many burger kings are around
527,  how many burger kings are nearby
528,  how many chinese restaurants are there
529,  how many miles will it take me to get to dominoes
530,  how many pizza restaurants are nearby
531,  how many places serve pizza
532,  how many restaurants near me have bathrooms
533,  how many restaurants that accept reservations are within 10 miles
534,  how much is a plate at the olive garden
535,  how much is an average plate at spencers diner
536,  how much is small box of fries at jack in the box
537,  how much longer is subway open
538,  how should i dress when going to francoiss
539,  huges bar and brill thanks
540,  i am diabetic and need to know if there are any health stores in the area
541,  i am having trouble fully waking up could you find some reviews of local coffee shops
542,  i am hungry please find nearby restaurants
543,  i am in the mood for shrimp where is the closet place i can go
544,  i am in the mood for some chinese food can you find me a place
545,  i am looking for a dennys that is 5 miles from here
546,  i am looking for a good place to eat
547,  i am looking for a local pizza restaurant that delivers
548,  i am looking for a mediterranean restaurant that delivers
549,  i am looking for a mexican restuarant that has a mariachi band
550,  i am looking for a nice restaurant within 30 miles that accepts credit cards
551,  i am looking for a restaurant that allows smoking
552,  i am looking for a restaurant that serves english food i want the price to be cheap to moderate
553,  i am looking for an olive garden are there any close by
554,  i am looking for lunch buffets within 15 minutes driving distance
555,  i am looking for sandwhiches
556,  i am looking for some chinese food
557,  i am looking for the best large buffet within 15 miles
558,  i feel in the mood for spicy food what can you do for me
559,  i feel the need for some killer barbeque help me please
560,  i hate smoke so list off some eateries i can go relax at
561,  i have a coupon for sweet tomatoes where is the nearest one
562,  i have a craving for fish and chips but i am on a budget so i need them cheap
563,  i have a dinner date at 5 where should i take her
564,  i have alcohol where can i find a good appetizer
565,  i have an important business luncheon and need to find a place that caters to professionals
566,  i have to be back at the office before 3 pm which restaurant is located within 1 mile from here
567,  i just need to find the closest diner to pick up some quick cheap breakfast
568,  i just want to eat at home could you direct me to a fast food place that has carry out
569,  i need a 4 star rated subway nearby
570,  i need a 5 star rated sushi bar close by
571,  i need a cheap restaurant for brunch
572,  i need a close restaurant that is open currently
573,  i need a deli that caters
574,  i need a family friendly place to eat tonight
575,  i need a kid friendly lunch place
576,  i need a kid friendly place to get sushi
577,  i need a korean barbecue restaurant
578,  i need a late night spot with good service
579,  i need a list of restaurants that take the diners card in a 5 mile radius
580,  i need a middle eastern restaurant with friendly service
581,  i need a place for kids to eat at 12 pm
582,  i need a place for smoking
583,  i need a place to get enchiladas thats open every day
584,  i need a quick bite to eat
585,  i need a reservation for 12 at 6 pm at the nearest asian restaurant
586,  i need a reservation for two at the nearest steakhouse
587,  i need a restaurant with lots of parking and large portions called nations restaurant news
588,  i need a thai place nearby can you find one
589,  i need a two pm reservation for hooters thanks kitt
590,  i need an expensive place within 5 miles of here
591,  i need an inexpensive italian restaurant with big portions
592,  i need an italian restaurant with a kids menu
593,  i need an unbelievably priced place on kingsdale st that has a bar atmosphere
594,  i need directions from my location to luigis pizza
595,  i need directions to the closest pancake place
596,  i need directions to the nearest ethiopian restaurant
597,  i need food delivered from near downtown
598,  i need gluten free options on the restauarant menu
599,  i need help finding a soul food restaurant
600,  i need info on wendys opening hours
601,  i need phone numbers to carry out pizza places within 2 miles
602,  i need reservations for 4 at the nearest sushi bar
603,  i need some potato fries on beacon hill with quick service
604,  i need something hot to eat on the way to work
605,  i need somewhere decently priced
606,  i need the closest chic fil a that is still serving the peach shake
607,  i need the hours of operation for lulus restaurant in gulf shores
608,  i need to book a business breakfast at the right price
609,  i need to find a galvins harp and bard near here
610,  i need to find a place that is open every day
611,  i need to find a restaurant int he government center with good service an a decent price
612,  i need to know of a place that serves breakfast beginning as early as 5 30 am
613,  i really feel like seafood right now whats close
614,  i smell bread take me there
615,  i think i could go for some mexican food right now can you see if there is anything nearby
616,  i wanna try something new find me a restaurant that carries sushi
617,  i want a 5 star restaurant that does carry out
618,  i want a beer from the cambridge brewing company
619,  i want a buffet
620,  i want a good milkshake where can i find it nearby
621,  i want a great milkshake
622,  i want a greek sandwich with goat cheese
623,  i want a list of restaurants that are chinese buffets within 5 miles of here
624,  i want a pad thai place around here thats open all day
625,  i want a place that allows smoking and serves health food
626,  i want a restaurant near the campground that allows smoking
627,  i want a restaurant on smith st that serves toast
628,  i want a restaurant that is open after 9 pm that is quite and has nice service
629,  i want a restaurant where i can order some carry out potato soup
630,  i want a taco from a taco truck
631,  i want an upscale steakhouse that has valet parking
632,  i want mcdonalds
633,  i want mexican food thats cheap which restaurant is closest
634,  i want pizza
635,  i want pizza im looking for the best pizza restaurant that is kid friendly and has carry out
636,  i want restaurants that are pet friendly
637,  i want some chips and salsa
638,  i want some taco bell
639,  i want something full of grease
640,  i want something to eat close by
641,  i want something to eat that is not fast food
642,  i want tacos
643,  i want take out mexican food right now
644,  i want the spiciest buffalo wings in town where should i go
645,  i want to eat at a very classy restaurant
646,  i want to eat fast food italian
647,  i want to eat hamburgers
648,  i want to eat in the best rated restaurant in the area
649,  i want to eat mexican food
650,  i want to eat some pasta
651,  i want to eat sushi please find me a place
652,  i want to find a burger that isnt fast food
653,  i want to find a german restaurant on the lower east side that serves brunch on saturday and or sunday
654,  i want to find a kosher deli that serves tongue and brisket sandwiches
655,  i want to find a nearby coffee shop with the highest customer ratings
656,  i want to find a new restaurant in my area that has just opened
657,  i want to find a place that serves beef patties
658,  i want to find a place that serves pizza by the slice
659,  i want to find a place to eat that is very clean and has good service
660,  i want to find a place with spaghetti and meatballs
661,  i want to find a restaurant that has a diet friendly menu
662,  i want to find a restaurant with an outdoor dining section that permits smoking
663,  i want to find an italian restaurant
664,  i want to get a list of pancake restaurants that are nonsmoking
665,  i want to get a reservation at the best michelin rated french restaurant
666,  i want to get price info on chez yogis restaurant in tow city
667,  i want to get some chinese food
668,  i want to get to a coffee shop that serves breakfast after 11 am
669,  i want to get to a restauarant as fast as possible
670,  i want to go dancing at a nearby place and i want scallops while im at it
671,  i want to go to a nicely priced place within 10 minutes that has a good tomato sauce
672,  i want to go to a restaurant with a high zagats rating and average plate cost of less than 20 nearby
673,  i want to go to an indian restaurant downtown
674,  i want to go to taco bell or taco jhons what ever is closer
675,  i want to have lunch in downtown la
676,  i want to have tacos
677,  i want to make a reservation at an indian restaurant but i dont know the location of one around here
678,  i want to make dinner plans for the convention can you take me somewhere that does catering
679,  i want to reserve the back room at bensons grill for my daughters birthday party next friday night is it available
680,  i want to try a blow fish could you find a good place to try it
681,  i want to try something exotic
682,  i want to try something new for dinner tonight
683,  i was some expensive dumplings
684,  i wnat to go to a steakhouse with outdoor dining within 10 miles
685,  i would like a list of restaurants that are smoke free near my house
686,  i would like find where all the nearby food trucks are
687,  i would like some dim sum today that is less than 5 miles away
688,  i would like some food what restaurants arent closed in the area
689,  i would like to eat fish today any recommendations
690,  i would like to eat pizza at a place with outdoor seating
691,  i would like to eat tofu at 12 pm for a reasonable price
692,  i would like to find a french restaurant that is rated at least 4 stars
693,  i would like to find a mexican restaurant nearby
694,  i would like to find a soul food restaurant
695,  i would like to find a vegan restaurant
696,  i would like to find a vegeterian restaurant
697,  i would like to go to a sushi restaurant
698,  i would like to know the location of a chinese restaurant
699,  i would like to know where the best restaurants are
700,  i would like wendys
701,  i would llike breakfast foods
702,  ice cream shop with 20 flavors or more near here
703,  id like a coffee shop that serves pie
704,  id like some comfort food farm vegetables
705,  id like to eat at a good lunch spot for the right price
706,  id like to eat in a reasonably priced restaurant that is not part of chain and that serves american food
707,  id like to eat some halal at a bar
708,  id like to find a breakfast place
709,  id like to find a cheap pub with internet access
710,  id like to find a chinese restaurant nearby
711,  id like to find a diner that has grilled cheese and soup close to here could you suggest one
712,  id like to go somewhere off the beaten path to get some middle eastern food
713,  id like to know the closest starbucks open past 9 pm
714,  id really like a thai restaurant that has carryout do you know of one
