,Sentences
217,  are there any good restaurants having happy hour now
218,  are there any good restaurants in the area
219,  are there any good restaurants near by that have a good deal going on right now
220,  are there any good reviews for hals pie restaurant
221,  are there any good seafood restaurants nearby
222,  are there any greek restaurants in memphis
223,  are there any greek style pizza parlors near by
224,  are there any halal restaurants in natick open around 8 pm
225,  are there any halal restaurants within ten minutes of here that are open before seven am
226,  are there any handicapped accessible restaurants around
227,  are there any high priced irish restaurants on forest street
228,  are there any high rated chinese restaurants in florence
229,  are there any high rated pancake places in this town
230,  are there any highly rated restaurants nearby that do not require a reservation
231,  are there any highly rated steak houses nearby
232,  are there any highly rated tapas bars with karaoke night
233,  are there any hip tea places nearby upscale would be nice
234,  are there any historic restaurants in the nearby area that have lobster on the menu
235,  are there any historic restaurants nearby
236,  are there any hotel restraunts in the area
237,  are there any hotels that serve dough
238,  are there any hotels within ten miles that serve food
239,  are there any ice cream stores along the way
240,  are there any ihops nearby
241,  are there any ihops within 5 miles
242,  are there any indian restaurants near me
243,  are there any indian restaurants nearby
244,  are there any indian restaurants that offer outdoor dining
245,  are there any indian restaurants with good ratings in this town
246,  are there any italian places nearby where celebrities hang out
247,  are there any italian restaurants in the area
248,  are there any italian restaurants near me that are open till 11 pm
249,  are there any italian restaurants nearby
250,  are there any italian restaurants open before 7 am
251,  are there any italian restaurants within 3 miles that have great service
252,  are there any jamaican restaurants that are open 24 7
253,  are there any japanese restaurants down town that offer traditional seating arrangements
254,  are there any japanese steakhouses in los angeles
255,  are there any jazz supper clubs by the beach
256,  are there any karaoke bars nearby
257,  are there any kfc restaurants along my route
258,  are there any kid friendly chinese restaurants around here
259,  are there any kid friendly restaurants around here
260,  are there any kid friendly restaurants near the park
261,  are there any kid friendly restaurants nearby that serve sake
262,  are there any kid friendly restaurants that also contain a smoking area
263,  are there any kid friendly restaurants that require an elegant dress code nearby
264,  are there any kid friendly pizza parlors around here
265,  are there any korean restaurants in town
266,  are there any kosher bars in wichita
267,  are there any kosher delis on this street
268,  are there any kosher places nearby
269,  are there any local bars that allow smoking in the restaurant
270,  are there any local secret restaurants serving filet mignon nearby
271,  are there any locations serving small portions of pastry nearby
272,  are there any low cost cuban restaurants
273,  are there any malaysian places around roxbury crossing
274,  are there any mcdonalds close by
275,  are there any mcdonalds in the vicinity
276,  are there any mcdonalds within 1 mile of my job
277,  are there any mcdonalds within 5 miles of here
278,  are there any mcdonalds within 5 minutes of here
279,  are there any mexican places with high zagat ratings near me
280,  are there any mexican restaurant in five miles
281,  are there any mexican restaurants around
282,  are there any mexican restaurants in my area
283,  are there any mexican restaurants near port washington new york
284,  are there any michelin starred fine dining restaurant around
285,  are there any mid priced vegan restaurants in north quincy
286,  are there any moderately priced steakhouses nearby
287,  are there any mongolian eatery in the tri state area
288,  are there any mystery dinner theaters in chattanooga
289,  are there any non smoking bars on this road
290,  are there any non smoking restaurants in the area
291,  are there any notable pad thai restaurants around with great prices
292,  are there any olive gardens on my route
293,  are there any organic restaurants nearby
294,  are there any outbacks along the route
295,  are there any outdoor eatery on battery march
296,  are there any outdoor kosher restaurants nearby that are open until midnight
297,  are there any papa johns in glen head long island
298,  are there any pet friendly restaurants in my area
299,  are there any pizza parlors in indiana
300,  are there any pizza places 5 miles away
301,  are there any pizza places on the way home im looking for big portions so i can bring some home to the family
302,  are there any pizza places open around here
303,  are there any pizza places that are still open after midnight less than 10 minutes from here
304,  are there any pizza places with chicago style pizza in the area
305,  are there any pizzerias on long island that 1 slices of pizza
306,  are there any place nearby with fantastic prices and online reservations
307,  are there any place open for breakfast before 5 am
308,  are there any place that caters to families with kids
309,  are there any place that is open after 12 p
310,  are there any places near by with carhops
311,  are there any places near here that kids would want to eat
312,  are there any places nearby that serve ice cream
313,  are there any places nearby to get a caesar salad
314,  are there any places nearby with a variety of diabetic friendly entree choices
315,  are there any places on this side of town that serve mussels at a wonderful price and allow you to bring your own beverages
316,  are there any places open for an early business breakfast other than nu way cafe
317,  are there any places that deliver nearby
318,  are there any places that have happy hour and serve soup around here
319,  are there any places that have special prices if two meals are ordered
320,  are there any places that promote use of locally grown produce
321,  are there any places that serve asian food where i can take my date
322,  are there any places that serve bagels and have beer along this route
323,  are there any places that serve chocolate for dessert and you can taste free samples
324,  are there any places that serve halal nearby
325,  are there any places that specialize in milkshakes near here
326,  are there any places to eat around here with a drive thru
327,  are there any places to eat within five minutes of here try some place with amazing prices
328,  are there any places to get desert
329,  are there any places where i could catch a hot dog
330,  are there any places with early bird specials
331,  are there any places with fixed menus that sell cookies near by
332,  are there any places within 4 miles that plays nice music and suitable for a group of people
333,  are there any places within 5 miles that serve a dish this town is known for
334,  are there any popeyes within 5 miles of here
335,  are there any raw vegan restaurants in the long beach long island area
336,  are there any really cheap restaurants around that are open 7 days a week
337,  are there any reasonably priced mexican spots
338,  are there any reasonably priced restaurant that opens before 8 am
339,  are there any reasonably priced restaurants nearby
340,  are there any restarurants that have bands playing
341,  are there any restaurant in the area that will allow me to bring my dog
342,  are there any restaurants around featuring enchiladas or mexican food
343,  are there any restaurants around featuring lunch specials
344,  are there any restaurants around here that allow dogs
345,  are there any restaurants around here that give senor discounts
346,  are there any restaurants between here and work
347,  are there any restaurants by the hospital
348,  are there any restaurants currently serving brunch within three miles of here
349,  are there any restaurants in inman square thats open after 9 pm 7 days a week
350,  are there any restaurants in new paris that i can get some lunch that arent real expensive
351,  are there any restaurants in the area that i can pay with travelers checks
352,  are there any restaurants in the theatre district located on beaumont street
353,  are there any restaurants in this area that have outdoor dining available
354,  are there any restaurants in this city with a dining room that have a great view of the night skyline
355,  are there any restaurants in town that also have a happy hour
356,  are there any restaurants near by
357,  are there any restaurants near the theater close by offering cocktails
358,  are there any restaurants nearby
359,  are there any restaurants nearby that are open late
360,  are there any restaurants nearby that have outside dining
361,  are there any restaurants nearby that serve shrimp
362,  are there any restaurants nearby where i can get beer and bratwurst
363,  are there any restaurants on kerry place featuring fireplace dining
364,  are there any restaurants on long island with a smoking section
365,  are there any restaurants on oak street that serve sushi
366,  are there any restaurants open on thanksgiving day that serve turkey
367,  are there any restaurants open that have a buffet nearby
368,  are there any restaurants open this early nearby
369,  are there any restaurants serving french fries before nine am within four miles of here
370,  are there any restaurants serving moderately priced margaritas nearby
371,  are there any restaurants specializing in english food within a 5 mile radius
372,  are there any restaurants that are serving beans at 2 am
373,  are there any restaurants that have discounts for college kids
374,  are there any restaurants that have good reviews for their milkshakes that are open at 7 am
375,  are there any restaurants that have two for 1 deals
376,  are there any restaurants that offer outdoor live music and outdoor dining
377,  are there any restaurants that opens before lunch and is cheap
378,  are there any restaurants that serve mediterranean food
379,  are there any restaurants that serves southwestern cuisine and is located with 5 miles
380,  are there any restaurants that stay open past midnight in arlington
381,  are there any restaurants thats serve breakfast all day
382,  are there any restaurants where kids can eat for free
383,  are there any restaurants with a play area for kids near here
384,  are there any restaurants with fast service that are open before 11 am
385,  are there any restaurants with free parking around here
386,  are there any restaurants with games or a play area that take kids birthday party reservations
387,  are there any restaurants within 1 mile of my hotel that are opened 24 hours
388,  are there any restaurants within 10 miles where kids eat free
389,  are there any restaurants within 15 miles that are smoke free what type of restaurants are they
390,  are there any restaurants within a mile of here
391,  are there any restaurants within walking distance that has valet parking
392,  are there any restuarants open till midnight that serve perfectly portioned meals
393,  are there any restuarants within 10 miles that are open until 2am that have a full service menu and serve alcohol
394,  are there any reviews about mcdills
395,  are there any romantic vegan restaurants
396,  are there any sandwich shops in california
397,  are there any scandanavian places around
398,  are there any seafood buffet places around here
399,  are there any seafood restaurants close to hicksville ny
400,  are there any seafood restaurants in montauk ny
401,  are there any seafood restaurants nearby
402,  are there any seafood restaurants that have a smoking section
403,  are there any sonics along my route
404,  are there any special deals for yogis yogurt place
405,  are there any special location dining restaurants that serve lobster roll
406,  are there any special occasion dining facilities serving tacos before 10 am
407,  are there any specialties being offered at any nearby restaurants
408,  are there any starbucks around
409,  are there any steak houses
410,  are there any stylish restaurants in beacon hill open after 2 am
411,  are there any suggestions for a vegetarian restaurant south of here
412,  are there any suishi places near hear
413,  are there any sushi bars near central park
414,  are there any sushi bars within 10 miles
415,  are there any sushi places in town
416,  are there any sushi restaurants in my area that are open for lunch
417,  are there any sushi restaurants with take out nearby
418,  are there any taco bells close by
419,  are there any taco bells in new jersey
420,  are there any taco bells on my route
421,  are there any tapas bars nearby
422,  are there any thai places within five miles of my current location
423,  are there any thai restaurants in germantown
424,  are there any thai restaurants in the area
425,  are there any theme restaurant downtown
426,  are there any tomachhios locations within five miles that have a great patio setting
427,  are there any tourist type sightseeing restaurants
428,  are there any upscale non smoking places that have halal
429,  are there any vegan diners in this area
430,  are there any vegan or vegetarian restaurants around here that cook with fake and substitute meats other than boca burgers
431,  are there any vegan restaurant bars near the area
432,  are there any vegan restaurants close by featuring great service
433,  are there any vegan restaurants in this town
434,  are there any vegan restaurants that are open after 9 p
435,  are there any vegetarian indian places nearby
436,  are there any vegetarian restaurants near time square
437,  are there any vegetarian restaurants that are open til midnight
438,  are there any vegeterian restaurants in the area
439,  are there any vietnamese places around here
440,  are there any vietnamese restaurants within 10 miles
441,  are there any waterfront dining spots that is open before 12 a
442,  are there any waterfront restaurants that serve sausage in post office square
443,  are there any wendys on my route
444,  are there any wendys within 10 miles of me
445,  are there any wendys within 5 miles of me
446,  are there are sushi bars open within ten miles
447,  are there four star restaurants in the area
448,  are there nearby restaurants
449,  are there reservations available tonight for 7 pm at la belle vie
450,  are there restaurants nearby that are cheap
451,  are there steakhouses nearby
452,  are there tapas places that are open right now
453,  are they any italian restaurants between home and work
454,  are we near a place to get a good bowl of southern grits
455,  are you able to find a restaurant that offers free refills on soda
456,  are you able to tell me a restaurants health score rating
457,  are you showing any wendys nearby
458,  area restaurants
459,  arrange my most frequented diners in terms of average price
460,  asian
461,  asian by the river
462,  asian specialty in my town
463,  at what time does dennys open
464,  at what time does johnny rockets open
465,  at what time does marlenes close
466,  at what times does pizzeria uno on elm street open
467,  at which restaurant can i eat breakfast for dinner
468,  at which restaurant can i eat some good seafood
469,  at which restaurants can eat before 7 am
470,  at which restaurants can i eat outside
471,  baby can you find me a good mexican restaurant in the area
472,  ballpark dining
473,  based on local or community reviews what is the highest rated restaurant within 15 miles that serves home cooked style meals
474,  bbq joint in town
475,  bbq ribs and beer sports bar
476,  beer and pub grub
477,  begin with the most frequented eateries in san diego
478,  best authentic mexican chimichangas
479,  best rated donuts in town
480,  beverly burgers closest to my area
481,  bitch i need a sandwich
482,  book me a dinner for two at 700 tonight at lecooks please
483,  book me a table for 1 at the closest place that recently got a high rating for their food
484,  breakfast and lunch resturants
485,  breakfast spot
486,  breakfast with the kids
487,  brunch
488,  buffet
489,  buffet reviews nearest
490,  buffets nearest
491,  burger joint
492,  burger joint that takes mastercard
493,  burger king hours nearby
494,  burger king resturant
495,  burrito resturant near my location
496,  by helping me find a place to satiisfy my craving for skillet fried chicken
497,  call applebees
498,  call bouchon in napa
499,  call golden corral in sacramento
500,  call hometown buffet
501,  call mcdonalds
502,  call ohgane in oakland for me
503,  call roys in oahu
504,  call sonic burger
505,  call the closest applebees for me
506,  call the closest chinese restaurant
507,  call the closest filipino restaurant
508,  call the closest hong kong style cafe
509,  call the pizza hut closest to my house that offers delivery
510,  call to make a reservation for bouchon in napa
511,  can i bring a seeing eye dog to the nearest fast food restaurant
512,  can i bring my child to fox and hound after 9 pm
513,  can i bring my dog on the patio
514,  can i bring my kids to the cuban restaurant
515,  can i bring my kids with me to dinner at lecooks
516,  can i bring my own beer to lincolns landing
517,  can i bring my seven children to the italian restaurant on 5 th street
518,  can i bring my stroller
519,  can i eat at the bar at cj gourmet pizza
520,  can i eat outdoors at dinosaur bbq
521,  can i find a german restaurant near main str
522,  can i find a noodle bar after midnight
523,  can i find a place that serves excellent clam sauce
524,  can i find a restaurant that serves a few vegetarian entrees as well as meat options
525,  can i find cheap sushi someplace not too far
526,  can i find chicken and waffles in stockton ca
527,  can i find sushi at midnight in berkeley
528,  can i find tgif fridays near me
529,  can i finda a cinnabon in the volusia mall
530,  can i get a cheese bourek anywhere around here
531,  can i get a cheeseburger anywhere close for under a dollar
532,  can i get a fish sandwich at jacks
533,  can i get a good home made burger and fries within ten miles of here
534,  can i get a good snack somewhere
535,  can i get a good steak at the hampton diner
536,  can i get a list of chichis that are in baltimore
537,  can i get a list of high zagat rated restaurants in 10 miles of here
538,  can i get a list of pizza places within walking distance
539,  can i get a list of restaurants that are still open that serve pancakes
540,  can i get a list of restaurants that are within a minute of here
541,  can i get a list of restaurants that have a kids eat free special in 5 miles
542,  can i get a listing for american cuisine
543,  can i get a partying restaurant to serve 17 members with outdoor dining
544,  can i get a pizza around here
545,  can i get a reservation at a french restaurant for 7 30 pm tonight
546,  can i get a reservation at bella napoli or are they full
547,  can i get a restaurant serving birthday cakes along 135 n
548,  can i get carry out after 12 pm at 1790 restaurant and tavern
549,  can i get carryout at obriens
550,  can i get directions to a mexican restaurant
551,  can i get directions to the closest diner
552,  can i get directions to the nearest dennys
553,  can i get directions to the nearest mcdonalds
554,  can i get polish sausage take out anywhere around here
555,  can i get some barbeque now
556,  can i get swedish meatballs for take out anywhere at 2 am
557,  can i get take out at changs
558,  can i get the menu for tims restaurant
559,  can i get the nearest restaurant that serves lobster sandwiches
560,  can i get the nearest soul food joint in a five mile radius
561,  can i get the number to bertuccis
562,  can i get the number to dennys
563,  can i get the phone number for applebees
564,  can i get the phone number for the nearest five star restaurant
565,  can i get the phone number of a restaurant for carry out order of spicy buffalo wings
566,  can i get to a place that is within five minutes and open before noon
567,  can i get to the ashland pizza palace in 5 minutes or less
568,  can i go to a italian restaurant with pizza
569,  can i have a business dinner at sevans bakery in chinatown
570,  can i have a list of nearby carryout restaurants
571,  can i have a list of restaurants that serve italian food
572,  can i have a moderate priced japanese restaurant
573,  can i have a phone number to mexican take out
574,  can i have directions to mc donalds
575,  can i have directions to mcdonalds
576,  can i have directions to the closest mcdonalds
577,  can i have directions to wendys
578,  can i have phone numbers to fine dining locations in this area
579,  can i have some fried chicken for lunch
580,  can i have the location of the closest mcdonalds
581,  can i have the menu of the sushi place
582,  can i have the phone number for dominos pizza
583,  can i have the phone number to applebees on atlantic avenue
584,  can i have the phone number to the nearest outback
585,  can i have the route to the nearest taco place
586,  can i hold my daughters birthday party at charlies
587,  can i just get a burger at this restaurant
588,  can i make a reservation for little q hotpot restaurant on valentines day
589,  can i make an online reservation at a nearby place called cafe mirror
590,  can i make online reservations
591,  can i make online reservations for delicious paisas bakery for midnight
592,  can i make reservations for the outback steakhouse online
593,  can i make reservations on line for new ho toy restaurant
594,  can i order delivery from nikos diner
595,  can i order take out at nikos greek cafe
596,  can i paid with a credit card here
597,  can i pay by check at mcdonalds
598,  can i pay with a check at griffins
599,  can i smoke in maxs bar and grill
600,  can i smoke in oconnors pub and grill
601,  can i split entrees at abuelos
602,  can i still find any chinese food restaurants that are still open right now
603,  can i use a visa card at romys shrimp shack
604,  can i use my 20 percent off coupon at mercys
605,  can i use my credit card at the greek lunch truck
606,  can i wear jeans at cheesecake factory
607,  can ol heidleburg restaurant accept a party of 12
608,  can you check whether theres a subway in this town
609,  can you dine in the bar at cjs gourmet pizza
610,  can you dine very cheaply at the bar at ichiban steak house
611,  can you direct me to a few high end celebrity hangout restaurants in the area
612,  can you direct me to a restaurant that sells bottles of wine for you to take home
613,  can you direct me to a restaurant with no smoking
614,  can you direct me to an affordable place in southborough
615,  can you direct me to the closest pizzeria
616,  can you direct me to the nearest needham house of pizza
617,  can you find a bakery along my route
618,  can you find a buffet nearby
619,  can you find a chinese restaurant
620,  can you find a chinese restaurant with carry out
621,  can you find a comfortable place on shawsheen avenue that has fine dining
622,  can you find a family style restaurant for us
623,  can you find a fast food place in one minute
624,  can you find a fast food place that serves healthy shakes
625,  can you find a fine dining place for me called the cookhouse
626,  can you find a good quality restaurant that has burgers close by
627,  can you find a good restaurant for a childs birthday
628,  can you find a greek restaurant thats open 24 hours
629,  can you find a highly rated restaurant that is open in the morning
630,  can you find a kid friendly restaurant with prices no more than 15 00 per entree that is rated four stars
631,  can you find a local hotspot on my route that features specials
632,  can you find a locally owned restaurant in a three block radius
633,  can you find a malaysian take out place
634,  can you find a market that has prix fixe menus
635,  can you find a mediterranean restaurant
636,  can you find a mexican cafe
637,  can you find a mexican restaurant near me
638,  can you find a mexican restaurant where they make fresh guacamole at your table
639,  can you find a monicas with a bar
640,  can you find a pizza place
641,  can you find a place serving tofu at 12 pm with good prices
642,  can you find a place that has a romantic stting
643,  can you find a place that is pet friendly
644,  can you find a place that sells sangrias with valet parking within a mile
645,  can you find a place that serves french toast
646,  can you find a place to eat that has good reviews of their steak
647,  can you find a place to eat that serves sweet bread
648,  can you find a place to eat within a twenty mile radius that serves wine at all hours
649,  can you find a place to watch people where they serve cajun food for a somewhat high price
650,  can you find a place where famous people can be seen like stephen anthonys restaurant around here
651,  can you find a place where i can grab some drinks on my route
652,  can you find a place where i can have dinner with a party of 10 people or more
653,  can you find a place where i will be allowed to smoke while eating
654,  can you find a place with moderately priced entrees such as kookoo cafe
655,  can you find a place within a mile of the house
656,  can you find a restaurant around the theater located on fort myers
657,  can you find a restaurant featuring soy bean curd where i can dine in an historic setting
658,  can you find a restaurant in this area where souvaki is served
659,  can you find a restaurant near by that serves tapas
660,  can you find a restaurant near downtown that serves french cuisine
661,  can you find a restaurant near the theater district in billerica that offers huge portions
662,  can you find a restaurant serving chinese food within 2 miles
663,  can you find a restaurant that excepts debit
664,  can you find a restaurant that has a play area for the kids
665,  can you find a restaurant that has carry out and is not too far from 8 th and maple st
666,  can you find a restaurant that offers chowder cuisine late at night
667,  can you find a restaurant that serves breakfast allday
668,  can you find a romantic afghan place
669,  can you find a romantic restaurant that has a dress code
670,  can you find a steak place with outdoor seating
671,  can you find a steakhouse that accepts reservations and make one for 8 00 pm
672,  can you find a taco bell along my route
673,  can you find a vegan bakery within five miles
674,  can you find a well rated japanese restaurant with parking
675,  can you find an affordable chinese restaurant
676,  can you find an applebees restaurant within 5 miles
677,  can you find an elegant restaurant with slightly high prices for chowder
678,  can you find an expensive martins home bakery with a parking lot
679,  can you find an italian restaurant
680,  can you find an italian restaurant within 1 hour drive that does not require reservations
681,  can you find any chinese cuisine restaurants close by that have reasonable prices
682,  can you find any reviews on madelines
683,  can you find butterfields restaurant where i can sit at the bar and eat with fair prices
684,  can you find closest ice cream shop
685,  can you find closest red robin
686,  can you find fast food near here
687,  can you find leoshe place around here that has a brewpub
688,  can you find me a 3 star restaurant
689,  can you find me a bar with a dining option
690,  can you find me a bar with a four star rating
691,  can you find me a beer garden
692,  can you find me a burger joint
693,  can you find me a burger king thats open right now
694,  can you find me a casual barbecue restaurant within thirty miles from here
695,  can you find me a casual place to eat
696,  can you find me a cheap brazilian restaurant in millis
697,  can you find me a china palace close to my home
698,  can you find me a chinese restaurant
699,  can you find me a chjildren friendly restaurant in redding ca thats open until 11pm
700,  can you find me a coffee shop with internet access
701,  can you find me a dairy queen nearby
702,  can you find me a drive thru since i am in a hurry
703,  can you find me a ethiopian place where the service is rated high
704,  can you find me a fair priced diner
705,  can you find me a five star place by the water in inman square
706,  can you find me a good place for a nice date
707,  can you find me a greek diner that has received high ratings on its service and has outdoor dining
708,  can you find me a mcdonalds close to the airport
709,  can you find me a mexican restaurant with outdoor sitting area
710,  can you find me a moderately priced restaurant that serves wine
711,  can you find me a pastry shop not more than 5 blocks from here
712,  can you find me a place called asai fine japanese cuisine with a nice wine list
713,  can you find me a place thats open after midnight in abington with dinner theater
714,  can you find me a place to dine at the bar for some tea for breakfast
715,  can you find me a place to eat
716,  can you find me a place to eat near here
717,  can you find me a place to eat some chips by the ocean
718,  can you find me a place to get entertainment while i eat
719,  can you find me a place to get mexican food
720,  can you find me a place where the entrees are priced under 10 per person but still has good food
